self_id,,target_id,,gt,tx1,rx1,tx2,rx2,tx3,rx3,,,target_id,ts,gt,tx1,rx1,tx2,rx2,tx3,rx3
1,,2,486705126.664995,1,38424911.4590037,38424664.7956453,618447783.562144,618447786.898786,187818865.51402,187818868.850662,,,3,753034280.250991,1,314598168.121345,314598421.457986,357314445.615608,357314448.95225,251261645.979734,251261649.316376
,,,487705126.664995,1,901127180.980833,901126934.317475,400216482.604936,400216485.941578,355808508.372581,355808511.709223,,,,754034280.250991,1,103219207.987669,103219461.32431,975873557.169868,975873560.50651,214419294.602133,214419297.938774
,,,488705126.664995,1,54353129.9242489,54352883.2608905,550122332.144302,550122335.480944,57533328.1482429,57533331.4848845,,,,755034280.250991,1,934268067.276914,934268320.613555,23572782.4395159,23572785.7761575,8675815.10657242,8675818.44321407
,,,489705126.664995,1,938016532.707448,938016286.04409,666093097.937047,666093101.273689,251377096.041489,251377099.378131,,,,756034280.250991,1,743206379.17323,743206632.509872,416081136.088836,416081139.425478,653079374.692317,653079378.028959
,,,490705126.664995,1,706857659.522918,706857412.859559,240762573.72851,240762577.065152,248637014.44396,248637017.780602,,,,757034280.250991,1,36231930.0528206,36232183.3894623,826398821.807829,826398825.144471,259044101.761618,259044105.09826
,,,491705126.664995,1,481371426.576579,481371179.91322,347318899.525719,347318902.86236,45002802.129,45002805.4656416,,,,758034280.250991,1,24571686.4239432,24571939.7605848,311369214.820305,311369218.156947,780194563.243956,780194566.580597
,,,492705126.664995,1,338269064.113546,338268817.450188,338524138.371293,338524141.707935,625709073.325681,625709076.662323,,,,759034280.250991,1,82425680.4716026,82425933.8082442,2614444.7260379,2614448.06267955,349858633.21964,349858636.556281
,,,493705126.664995,1,860837857.257559,860837610.5942,627714592.182564,627714595.519206,127667201.420125,127667204.756767,,,,760034280.250991,1,112518440.301268,112518693.63791,626853157.247214,626853160.583856,353872858.438166,353872861.774807
,,,494705126.664995,1,907474116.622287,907473869.958928,913422772.139925,913422775.476566,562339503.58612,562339506.922762,,,,761034280.250991,1,150651445.912788,150651699.24943,252597895.254744,252597898.591386,477670004.91033,477670008.246972
,,,495705126.664995,1,694923602.214938,694923355.551579,854697658.650524,854697661.987166,620281354.632131,620281357.968772,,,,762034280.250991,1,521009753.852901,521010007.189542,857345190.912514,857345194.249156,994087721.178995,994087724.515637
,,,496705126.664995,1,591571375.385154,591571128.721795,290433162.86082,290433166.197461,152455071.372774,152455074.709416,,,,763034280.250991,1,754899885.785263,754900139.121905,542547241.167606,542547244.504248,231666505.241184,231666508.577825
,,,497705126.664995,1,153533514.003376,153533267.340018,500573176.974746,500573180.311388,964853762.723945,964853766.060587,,,,764034280.250991,1,113074348.459378,113074601.796019,534460960.93996,534460964.276602,988657455.349631,988657458.686273
,,,498705126.664995,1,282690079.983903,282689833.320545,807257324.875685,807257328.212326,872527012.124986,872527015.461628,,,,765034280.250991,1,261946809.849994,261947063.186635,152321234.172898,152321237.509539,883031967.050337,883031970.386978
,,,499705126.664995,1,64542688.5370133,64542441.8736549,233886510.535371,233886513.872012,532808818.372306,532808821.708948,,,,766034280.250991,1,348103061.255268,348103314.59191,492422050.627748,492422053.96439,369913189.448987,369913192.785629
,,,500705126.664995,1,430952643.425657,430952396.762299,172318473.10018,172318476.436822,127640996.335721,127640999.672363,,,,767034280.250991,1,771057156.988281,771057410.324923,236518176.553929,236518179.890571,506510059.064526,506510062.401168
,,,501705126.664995,1,3579575.80104831,3579329.13768995,665454435.937083,665454439.273724,661574196.191531,661574199.528172,,,,768034280.250991,1,561165927.956334,561166181.292975,521490482.122009,521490485.458651,436809321.137403,436809324.474045
,,,502705126.664995,1,858247313.550125,858247066.886767,283360248.653411,283360251.990053,937082636.753921,937082640.090563,,,,769034280.250991,1,800777364.492543,800777617.829185,35132441.5051278,35132444.8417694,839111064.555269,839111067.891911
,,,503705126.664995,1,868149566.299617,868149319.636258,808617783.124506,808617786.461147,131266923.391683,131266926.728325,,,,770034280.250991,1,18571461.9139849,18571715.2506265,972037886.134843,972037889.471485,331176785.197801,331176788.534443
,,,504705126.664995,1,58114469.5895187,58114222.9261604,696167115.437727,696167118.774369,835697486.495749,835697489.832391,,,,771034280.250991,1,955715268.007936,955715521.344578,995677417.416325,995677420.752967,727948792.176772,727948795.513414
,,,505705126.664995,1,166900215.854142,166899969.190784,48466693.8527025,48466697.1893442,623295572.131066,623295575.467708,,,,772034280.250991,1,597629910.380242,597630163.716884,967812581.190664,967812584.527306,136164723.296833,136164726.633475
,,,506705126.664995,1,388772644.395351,388772397.731993,286336697.735667,286336701.072308,783046689.903616,783046693.240258,,,,773034280.250991,1,943811629.505516,943811882.842158,54807101.3657498,54807104.7023914,328102861.434688,328102864.77133
,,,507705126.664995,1,440126317.400842,440126070.737484,83218145.5154207,83218148.8520624,848977301.31957,848977304.656212,,,,774034280.250991,1,758841468.703095,758841722.039736,493826707.795893,493826711.132535,971004556.772851,971004560.109492
,,,508705126.664995,1,466351956.083407,466351709.420048,819866639.415161,819866642.751803,169749210.33777,169749213.674412,,,,775034280.250991,1,320089826.537087,320090079.873728,917497205.497272,917497208.833914,589458844.813853,589458848.150495
,,,509705126.664995,1,43548479.5080533,43548232.8446949,988268264.256083,988268267.592724,330921193.117399,330921196.454041,,,,776034280.250991,1,423986019.644011,423986272.980653,859481585.592194,859481588.928836,452839844.356585,452839847.693227
,,,510705126.664995,1,143857763.40905,143857516.745691,544899950.002667,544899953.339308,357595260.484907,357595263.821549,,,,777034280.250991,1,558221327.831907,558221581.168549,908761224.341329,908761227.677971,372074993.02128,372074996.357921
,,,511705126.664995,1,532873287.556339,532873040.892981,150219315.578796,150219318.915438,79533187.9994846,79533191.3361263,,,,778034280.250991,1,659154246.166209,659154499.50285,215644762.565414,215644765.902056,296444361.929435,296444365.266076
,,,512705126.664995,1,610692374.971882,610692128.308523,102731559.29045,102731562.627091,22349409.8466726,22349413.1833143,,,,779034280.250991,1,217639240.657792,217639493.994434,683721131.572535,683721134.909176,210135737.399798,210135740.73644
,,,513705126.664995,1,600059234.270255,600058987.606897,824643939.412637,824643942.749279,284964397.307135,284964400.643776,,,,780034280.250991,1,932333402.929328,932333656.26597,51194096.6840098,51194100.0206515,250800538.072176,250800541.408817
,,,514705126.664995,1,80655459.3603889,80655212.6970306,764356207.792582,764356211.129223,877429322.778801,877429326.115443,,,,781034280.250991,1,542215774.867448,542216028.20409,860566462.033735,860566465.370377,453197911.544458,453197914.881099
,,,515705126.664995,1,565329508.059033,565329261.395674,4195869.04437583,4195872.38101748,430368281.38959,430368284.726232,,,,782034280.250991,1,550261445.063926,550261698.400568,31015357.1181985,31015360.4548401,680183227.13292,680183230.469562
,,,516705126.664995,1,690747792.391397,690747545.728039,552422511.525052,552422514.861693,508122903.125034,508122906.461676,,,,783034280.250991,1,50915447.14701,50915700.4836516,29372599.6714069,29372603.0080486,341435154.243246,341435157.579888
,,,517705126.664995,1,591748261.963989,591748015.30063,879284182.15782,879284185.494462,487584857.137026,487584860.473668,,,,784034280.250991,1,257669951.604918,257670204.94156,478741041.454168,478741044.79081,251612614.888836,251612618.225478
