self_id,,target_id,,gt,tx1,rx1,tx2,rx2,tx3,rx3
2,,3,465963939.545479,0.052756825332997,170292475.85725,170292976.033281,197335735.342132,197335735.518162,408925335.696403,408925335.872434
,,,466963939.545478,0.057443976659986,742951164.198997,742951664.390667,906957620.782905,906957620.974575,845092585.380777,845092585.572447
,,,467963939.545478,0.054132192639653,487170467.748874,487170967.929494,41082796.567977,41082796.7485967,335783533.958576,335783534.139195
,,,468963939.545479,0.054722319197447,724248276.188441,724248776.37103,874136881.562351,874136881.74494,130506398.609932,130506398.792521
,,,469963939.545479,0.05434568429252,253820137.924316,253820638.105648,709004271.307578,709004271.48891,299368710.942541,299368711.123873
,,,470963939.545478,0.053071981857326,858228642.126381,858229142.303463,846499268.38632,846499268.563402,916352930.470758,916352930.647841
,,,471963939.545478,0.06221514856356,818188437.354316,818188937.561905,399251114.093393,399251114.300982,813433514.053788,813433514.261378
,,,472963939.545479,0.060852547756908,940715577.336725,940716077.539768,585329026.562447,585329026.76549,325673068.645628,325673068.848672
,,,473963939.545479,0.059543746677961,599279936.794723,599280436.993399,918976602.022156,918976602.220832,402965409.674057,402965409.872733
,,,474963939.545478,0.059665097028815,927027774.154775,927028274.353856,377978271.10019,377978271.299271,201378745.115471,201378745.314552
,,,475963939.545478,0.056575339442996,57749409.9746024,57749910.1633741,921311442.993489,921311443.182261,103785137.807725,103785137.996496
,,,476963939.545478,0.061440121437528,243443256.778293,243443756.983297,185340348.888974,185340349.093977,502418256.999118,502418257.204121
,,,477963939.545479,0.053681968473672,757786737.582923,757787237.76204,693892630.163215,693892630.342333,907449488.259599,907449488.438717
,,,478963939.545479,0.055569680095066,251603828.85996,251604329.045377,83016605.5459108,83016605.7313269,984446770.879517,984446771.064934
,,,479963939.545478,0.058470161555469,355255549.61847,355256049.813564,285309884.675452,285309884.870546,842857842.269647,842857842.464741
,,,480963939.545478,0.057079201816501,326452938.534034,326453438.724487,268636523.158193,268636523.348646,992922950.822964,992922951.013417
,,,481963939.545479,0.054523022706958,247294403.298405,247294903.480329,416368813.945648,416368814.127572,123730888.708779,123730888.890703
,,,482963939.545479,0.055334564467384,592770015.292629,592770515.47726,952165181.526826,952165181.711458,376627010.857264,376627011.041895
,,,483963939.545478,0.061399282524939,695189249.724097,695189749.928964,972335739.384006,972335739.588873,628017921.134522,628017921.339389
,,,484963939.545478,0.053509139537211,487721956.241699,487722456.42024,125285384.451768,125285384.630308,252278748.995333,252278749.173873
,,,485963939.545479,0.054075468634217,296317311.237937,296317811.418367,500622050.247266,500622050.427696,86942736.6139377,86942736.7943682
,,,486963939.545479,0.054398937947728,418003927.053274,418004427.234784,318353419.258248,318353419.439758,950117413.658997,950117413.840506
,,,487963939.545478,0.057998569276758,724480236.386078,724480736.579598,983870309.896747,983870310.090267,639077795.531003,639077795.724524
,,,488963939.545478,0.058688509071725,807689279.584779,807689779.780601,831489500.036456,831489500.232279,80287886.1023541,80287886.2981766
,,,489963939.545479,0.062058261312427,366312472.702547,366312972.909614,232063352.693164,232063352.90023,339204459.884543,339204460.09161
,,,490963939.545479,0.061033186025651,125927961.904098,125928462.107744,63667991.6035061,63667991.8071519,957415713.493977,957415713.697623
,,,491963939.545478,0.053838834325699,446883951.44572,446884451.625361,190633630.206666,190633630.386307,429907863.134619,429907863.31426
,,,492963939.545478,0.058810234113366,149135538.65153,149136038.847759,570920601.389917,570920601.586145,721956579.385535,721956579.581763
,,,493963939.545479,0.060327286242386,384132333.445171,384132833.646462,479405087.884273,479405088.085563,23720454.3346121,23720454.5359026
,,,494963939.545479,0.056251090061732,493763213.098844,493763713.286533,293422025.123019,293422025.310709,425683863.795042,425683863.982732
,,,495963939.545478,0.061378151086482,760572938.566086,760573438.770883,251043588.16997,251043588.374767,343082233.890319,343082234.095116
,,,496963939.545478,0.054069338094145,681715059.214967,681715559.395377,628977731.25204,628977731.43245,779071950.718789,779071950.899199
,,,497963939.545479,0.054933573818674,364046769.153777,364047269.337071,7892517.18363037,7892517.36692402,496552004.264153,496552004.447447
,,,498963939.545479,0.057988085970686,657900476.020937,657900976.214422,567947388.858932,567947389.052417,946843932.755398,946843932.948883
,,,499963939.545478,0.056476119964381,2142420.10046015,2142920.28890073,876336427.298357,876336427.486797,6093220.37165826,6093220.56009883
,,,500963939.545478,0.054686003166108,666837657.492394,666838157.674862,563284355.784999,563284355.967467,742538666.414794,742538666.597262
,,,501963939.545478,0.053026176939347,724848083.196363,724848583.373292,51753360.5922101,51753360.7691394,500512737.046865,500512737.223795
,,,502963939.545479,0.062753468383355,118120103.900911,118120604.110297,786801507.58578,786801507.795166,265045873.148503,265045873.357889
,,,503963939.545479,0.058241651929589,242521912.835144,242522413.029475,904619120.633762,904619120.828093,589004291.63094,589004291.825272
,,,504963939.545478,0.058536549936526,324816936.271013,324817436.466328,9632389.99869413,9632390.19400962,918252117.233917,918252117.429232
,,,505963939.545478,0.053723482814839,434808559.841279,434809060.020535,95698486.2057432,95698486.3849992,628841930.540445,628841930.719701
,,,506963939.545479,0.062009111808827,539513354.942104,539513855.149007,96133799.2023892,96133799.4092914,795999793.488863,795999793.695765
,,,507963939.545479,0.054502859895714,917907517.876939,917908018.058796,279011452.780278,279011452.962135,100779897.545591,100779897.727448
,,,508963939.545478,0.060267874813066,417897597.028117,417898097.229209,425548651.77171,425548651.972802,24643112.8456051,24643113.0466974
,,,509963939.545478,0.057574426349929,97440955.8951875,97441456.0872927,461370730.133685,461370730.32579,844130925.273157,844130925.465262
,,,510963939.545479,0.062126894780576,274953792.504356,274954292.711652,761694897.20457,761694897.411866,302271041.907237,302271042.114532
,,,511963939.545479,0.062274598903125,749417055.611651,749417555.819439,257663297.338915,257663297.546704,363320779.540452,363320779.74824
,,,512963939.545478,0.053114624476819,197055172.412748,197055672.589973,354332357.809543,354332357.986768,338767474.85742,338767475.034644
,,,513963939.545478,0.059412708925696,685236706.302401,685237206.500639,456103795.855926,456103796.054165,20493941.4863709,20493941.6846098
,,,514963939.545479,0.053505781147835,560180149.501693,560180649.680223,181091958.248735,181091958.427264,173889917.924075,173889918.102605
,,,515963939.545479,0.060378028629706,932026622.27666,932027122.47812,362740780.861121,362740781.062581,695224834.339724,695224834.541184
,,,516963939.545478,0.05495685472441,211098958.686906,211099458.870277,790025931.714593,790025931.897964,878194673.332266,878194673.515637
,,,517963939.545478,0.060758127976854,497035309.819153,497035810.021881,693403234.383898,693403234.586626,293541051.827563,293541052.030291
,,,518963939.545479,0.055634778315849,350904412.96911,350904913.154744,877772353.434144,877772353.619777,604650952.408892,604650952.594526
,,,519963939.545479,0.060796937293889,486724958.129129,486725458.331987,379204140.428631,379204140.631488,999361941.111531,999361941.314389
,,,520963939.545478,0.056698639142204,96186588.6557245,96187088.8449076,467057116.820541,467057117.009724,293389702.035733,293389702.224916
,,,521963939.545478,0.053646885079354,106325896.506754,106326396.685754,905102433.143787,905102433.322787,451976363.221788,451976363.400789
,,,522963939.545479,0.059992751518227,711926001.074377,711926501.274551,573264476.932199,573264477.132373,850073454.239585,850073454.439759
,,,523963939.545479,0.054876571329882,569563067.689892,569563567.872995,511902714.433102,511902714.616205,95655102.2904996,95655102.473603
,,,524963939.545478,0.059976410393025,331917721.38189,331918221.58201,996794816.593474,996794816.793594,211437571.353169,211437571.553289
,,,525963939.545478,0.055049397623005,502682408.84413,502682909.02781,241319237.384773,241319237.568453,518579719.136382,518579719.320062
,,,526963939.545478,0.052972104324207,306263749.593652,306264249.770401,304609759.551864,304609759.728613,320917102.248747,320917102.425496
,,,527963939.545479,0.058149338366206,246925295.072581,246925795.266604,7523615.06083889,7523615.2548624,502719762.442006,502719762.63603
,,,528963939.545479,0.053772978637874,589054224.621607,589054724.801028,371934993.348228,371934993.527649,210994519.241376,210994519.420797
,,,529963939.545478,0.06102575171662,651403370.15549,651403870.359111,622137590.543095,622137590.746716,802297464.769482,802297464.973103
,,,530963939.545478,0.059158748401268,493123028.4588,493123528.656191,112570219.834775,112570220.032166,918397804.933048,918397805.13044
,,,531963939.545479,0.06005432029287,407642514.683061,407643014.883441,408600476.230552,408600476.430931,874873970.930266,874873971.130646
,,,532963939.545479,0.056192034481609,95116045.9141153,95116546.101608,37991838.2114351,37991838.3989278,629039646.118018,629039646.305511
,,,533963939.545478,0.061564107925367,494186150.828608,494186651.034025,383553246.872202,383553247.07762,302366091.531087,302366091.736505
,,,534963939.545478,0.056969458536389,713665920.760967,713666420.951053,897423241.413586,897423241.603673,639593796.794559,639593796.984646
,,,535963939.545479,0.060333021955965,155236196.548166,155236696.749475,348005743.230488,348005743.431798,807201918.687564,807201918.888874
,,,536963939.545479,0.05317683371825,346176060.934687,346176561.112119,25620156.4271346,25620156.6045666,269582940.72644,269582940.903872
,,,537963939.545478,0.061647450399148,836442361.884914,836442862.090609,16933899.3280285,16933899.533724,44133017.6567087,44133017.8624042
,,,538963939.545478,0.054799162486618,490363925.232383,490364425.415229,339785932.554954,339785932.737799,700588776.005772,700588776.188618
,,,539963939.545479,0.058910836533281,841029118.210785,841029618.407349,680459415.115305,680459415.311869,840954261.284971,840954261.481536
,,,540963939.545479,0.062652534626068,58455477.5621184,58455977.7711674,674053154.906244,674053155.115293,454002163.181319,454002163.390368
,,,541963939.545478,0.053771818515286,734530441.048112,734530941.22753,530329029.418317,530329029.597735,430231191.319552,430231191.49897
,,,542963939.545478,0.053832140783503,421739542.667997,421740042.847616,87375711.4478267,87375711.6274452,828752314.371313,828752314.550931
,,,543963939.545479,0.060325556941818,979209304.502832,979209804.704117,292142220.359778,292142220.561063,138816759.772815,138816759.9741
,,,544963939.545479,0.053975839352333,891618261.796616,891618761.976714,169327887.340577,169327887.520675,631468700.54309,631468700.723188
,,,545963939.545478,0.05568980227988,659860305.421097,659860805.606914,257966323.201584,257966323.387401,870455043.194682,870455043.380499
,,,953668812.846875,0.102596940319362,180270240.628234,180270740.970563,519130832.693025,519130833.035354,970699969.13336,970699969.475689
,,,954668812.846875,0.111568927823214,424236938.1465,424237438.518766,658146703.341262,658146703.713528,546922046.144773,546922046.517038
,,,955668812.846875,0.109196699305691,872708905.041846,872709405.406196,431437556.960824,431437557.325174,382208196.806419,382208197.17077
,,,956668812.846875,0.112062310455367,62640035.7031751,62640536.0770869,144222831.805433,144222832.179345,985898996.505173,985898996.879084
,,,957668812.846875,0.103412728705317,629751196.491674,629751696.836725,404372026.111417,404372026.456468,343268336.350623,343268336.695674
,,,958668812.846875,0.102928931852546,125677676.550577,125678176.894014,835541040.083599,835541040.427036,227199268.606985,227199268.950422
,,,959668812.846875,0.110410932341073,979215439.245012,979215939.613414,974352281.535959,974352281.904361,322787845.355496,322787845.723897
,,,960668812.846875,0.103507478372068,139366425.612676,139366925.958043,647155438.109034,647155438.454401,18337984.395165,18337984.7405323
,,,961668812.846875,0.106491231127984,725485524.166775,725486024.522098,263256931.754803,263256932.110126,944636357.11593,944636357.471253
,,,962668812.846875,0.107643705505941,26211912.1342464,26212412.4934149,892936803.186448,892936803.545616,773748329.240304,773748329.599473
,,,963668812.846875,0.10980442482128,83847936.8596332,83848437.2260113,29101884.1576211,29101884.5239991,39240777.1359055,39240777.5022835
,,,964668812.846875,0.111284234085196,794069683.536248,794070183.907564,225712258.681529,225712259.052845,903682351.487012,903682351.858328
,,,965668812.846875,0.112533167729118,905786530.23316,905787030.608643,793305693.408179,793305693.783662,863276604.081118,863276604.456601
